variable,descripcion,tablas_fuente,dominio,p_featuregroup
cta_deccorreg_12m,número de meses en que la persona tuvo decremento en su saldo ssffen los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
cta_decre_total_12m,Número decrementos de saldos totales del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ctd_1m_sow,Participación en el mercado respecto a la línea total de tarjeta de crédito de la entidad principal hace un mes.,tbl_rcc_agg02_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ctd_dectctotal_12m,número de meses en que la persona tuvo decremento en su saldo tc ssff en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldotc,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ctd_dist_ent_salvig_lin_12m,descripción de la cantidad total de productos reportados del sf en el m-12,tbl_rcc_per_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ctd_ent_saltot_lin_m12,Cantidad entidades con saldo total o línea en los últimos 12 meses,tbl_rcc_per_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ctd_sldptmssff_12m,tendencia de saldos de préstamos (pp + pc) en el ssff en el último año,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
des_cta_1m_3m_saldototrcc,Diferencia del saldo total rcc en el último mes respecto a 3 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
dsv_6m_saldo,Desviación saldo rcc últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
dsv_entidadesdistrdlineatc_u1a,Variación del número de entidades distintas con línea de tarjeta de crédito en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
dsv_sldhip_u1a,Variación del saldo hipotecario del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_altosldtc,Altos Saldos Tarjeta De Crédito,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_bajosldtc,Bajos Saldos Tarjeta De Crédito,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_cast24m,flag de castigo con saldo mayor a 100 en los últimos 24 meses ,"e_perm_aws.t_consolidado_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_clasif_peor01m,Flag clasificación peor a normal último mes,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_credhipotecario,Tenencia de crédito hipotecario en el último mes,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_hip12m,"Flag_hipotecario--> 1: tiene saldo de crédito hipotecario en SF los últimos 12 meses, 0: no tiene saldo de crédito hipotecario en SF los últimos 12 meses",t_consolidado_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_monoproducto12m,Tenencia de un solo tipo de crédito en los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_pctsldmor8dm03m,Flag de porcentaje de saldo mora mayor a 8dm en los últimos 12 meses mayores a 0,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_ratsldpjm01m24,Flag que indica si el ratio de saldo directo en persona jurídica en el últimos mes sobre saldo directo persona jurídica hace 24 meses es mayor a 0,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_sgmtnonormal,Pertenece al segmento no normal,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_sldhipveh12m,Tiene saldo hipotecario o vehicular mayor a 100 soles en los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
flg_vehicular12m,"Flag vehicular, considera dias de atraso < 90 días--> 1: saldo vehicular últimos 12 meses y días mora últimos 12 meses menor a 90, 0: resto ",t_consolidado_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_decrem_tc_correg_12m,maximo decrecimiento de saldo de tarjeta de crédito en el sistema financiero en los ultimos 12 meses,t_rsk_vars_mdl_rcc_decrsldotc,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_decsldpp12m,Máximo decremento de saldo en los últimos 12 meses en PP,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_decsldssff12m,Campo que indica maximo decremento de saldo en los últimos 12 meses sistema financiero,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_nrotipcred12m,Máximo número de tipos de crédito en los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_nrotiposcred,Máximo numero de tipos de créditos,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_porcdismsldneg06m,Máximo % de disminución de saldo negocio en los 6um,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_sld_vig_tc_sf_6m,Maximo saldo vigente de producto tc en los ultimos 6 meses en el sistema financiero,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
max_slddispefpnj_u3m,Máximo saldo de disposición en efectivo de persona natural jurídica en los últimos 3 meses,e_perm_aws.t_rsk_vars_mdl_rcc_disef,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
min_dectotal_12m,Mínimo decremento de saldo total de sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
min_pctsldimpag12m,Minimo porcentaje de saldo impago en el últimos año,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
min_pctsldrdg1246_u1a,Mínimo porcentaje de saldo de los principales bancos del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
min_sldtcpn_u1a,Mínimo saldo tarjeta de crédito del sistema financiero de personas naturales en el último año,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_decrsld12m,Numero de decrementos de saldos en los u12m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_decsld12m,Número de decremento de saldo de los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_entreport,Cantidad entidad reportada,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_entreport24m,Número de entidades reportantes en los últimos 24 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_entultimes,# entidades último mes,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_mes8dm12m,Número de meses con más de 8dm en los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_mesesdismisldoconyu12m,Número de meses que disminuye el saldo en los 12um conyugue,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
nro_messld06m,número de meses con saldo revolvente en los últimos 6 meses ,buroseg_base_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
pct_salvigpp_salvigtot_rccsf_m03,Porcentaje del saldo vigente de préstamo personal del sistema financiero en los últimos 3 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
pct_sindatraso03m,Porcentaje con ceros días de atraso en los últimos 3 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
pct_sldotroent24m,Porcentaje de saldo en los últimos 24 meses otras entidades reportadas,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_dim_inst_fin_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
pct_sldssff01m,Porcentaje de saldo en las principales 4 entidades del SSFF en el u1m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_12m_saldovig,Promedio del saldo vigente total fuera de Interbank de los últimos 12 meses.,tbl_rcc_agg02_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_3m_saldo,Saldo promedio total rcc últimos 3 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_6m_saldo,Saldo promedio total rcc últimos 6 meses,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_6m_swsvep1allsf,Promedio de la participación en el mercado de la entidad principal de los últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_conv_3m_saldo,Promedio últimos 3 meses del Porcentaje del saldo vigente de préstamo por convenio en el Sistema Financiero entre el saldo vigente total en el Sistema Financiero,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_conv_6m_saldo,Promedio de saldo convenios últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_cta_6m_lin_tc_rccsf,Promedio de las líneas de tarjetas de crédito en los últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_cta_6m_lintcrrstsf,Promedio de las líneas de tarjetas de crédito fuera de Interbank en los últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_datraso03m,Promedio de días de atraso en los últimos 3 meses,e_perm_aws.t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_datraso06m,Promedio de días de atraso en los últimos 6 meses,e_perm_aws.t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_datraso24m,Promedio de días de atraso en los últimos 24 meses,e_perm_aws.t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_deccorregsuave_12m,monto promedio de decremento de su saldo ssff en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_decpefessff12m,"Decremento promedio de préstamos efectivo en el sistema financiero en los últimos 12 meses, quitando decremento mínimo y máximo, considera al menos 3 decrementos informados.",t_consolidado_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_decrsld12m,Decremento promedios de saldos en el SSFF en los u12m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_decsldssff12m,Promedio de decremento de saldo sistema financiero en los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_decsldtcssff12m,Promedio de decremento de saldo en tarjeta de crédito sistema financiero en los últimos 12 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_dectccorregsuave_12m,monto promedio de decremento de su saldo tc ssff en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldotc,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_dectctotal_12m,Promedio decremento saldo tarjeta de crédito total del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldotc,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_dectotal_12m,Promedio decremento de saldo total del sistema financiero en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_decrsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_linea_tc_tot_3m,valor promedio linea tarjeta de crédito total últimos 3 meses,t_rsk_vars_mdl_rcc_cons,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_pctsldentprinc24m,Promedio de porcentaje saldo en entidades principales en los últimos 24 meses,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_dim_inst_fin_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_pctsldotroent24m,Promedio porcentaje saldo en otras entidades bancos en los últimos 24 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_pctsldrtl24m,Promedio de porcentaje saldo en retail en los últimos 24 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_pctusotctot_u1a,valor promedio porcentaje uso tarjeta de crédito total último año,e_perm_aws.t_rsk_vars_mdl_rcc_sldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_pctusotctotal12m,porcentaje uso de tarjetas de crédito en los últimos 12 meses ,buroseg_base_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_pondeuda24m,Promedio ponderado por deuda en los últimos 24 meses en el sistema financiero,e_perm_aws.t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_porcsldootasent06m,Promedio del % saldo otras entidades ult. 06 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_porcsldootrasent12m,Promedio del % del saldo en otras entidades 12um,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_porcsldootrosban12m,Promedio del % de saldo en otros bancos 12um,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_ratdispefpn_u6m,valor promedio ratio disposicion efectivo persona natural últimos 6 meses,e_perm_aws.t_rsk_vars_mdl_rcc_disef,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_ratdispefpnj_u1a,Promedio ratio disposición efectivo de persona natural jurídica en los últimos 12 meses,e_perm_aws.t_rsk_vars_mdl_rcc_disef,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_ratentsldlin12m,Promedio del ratio de entidades con saldo y linea en los u1a,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_salvig_entprinc_hip_rcc_3m,promedio de saldo vigente de la entidad principal en hip en los últimos 3 meses,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_slddispefpn_u6m,valor saldo promedio disposicion efectivo persona natual últimos 6 meses,e_perm_aws.t_rsk_vars_mdl_rcc_disef,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_usotc_ssff12m,Promedio porcentaje de uso tarjeta de crédito del sistema financiero en los últimos 12 meses,t_rsk_ds_usotcssff_pp_bank,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prm_usotcbksf06m,Promedio de uso de tarjeta de credito en los últimos 6 meses en el sistema financiero,"e_perm_aws.t_dim_cuenta_rcc, buroseg_base_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
prom_salvig_pp_rccsf_06m,Promedio de saldo vigente de préstamo personal del sistema financiero en los últimos 6 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_1m_6m_saldotot,Ratio saldo total rcc entre último mes y últimos 6 meses,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_1m_6m_saldovig,Ratio del máximo saldo vigente de tarjeta de crédito respecto a la suma del saldo vigente de tarjeta de crédito en los últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_1m_6m_usotc,Ratio de desviación rcc entre ultimo mes y los últimos 6 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_3m_saldopp,Ratio saldo vigente préstamos personales reportados por el sistema financiero últimos 3 meses.,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_deudir01m12m,ratio de saldo último mes vs los últimos 12 meses ,buroseg_base_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_nroentidm01m24,Ratio de número de entidades en el 1 últimos y haces 24 meses atrás,e_perm_aws.t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_prmsldibkssff12m,Ratio del promedio de saldo ibk en los u12m sobre el saldo promedio en el ssff en los u12m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_prmsldo03mentresldo06m,Ratio entre el prm de saldo 3 / prm de saldo 6,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_sldibkssff12m,Ratio de saldo IBK/saldo SSFF en los u12m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_sldrev01m12m,ratio de saldo revolvente último mes vs los últimos 12 meses ,buroseg_base_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_svotrppeallsf_3m,ratio del saldo vigente de otros préstamo personal rcc no ibk mes 3,tbl_rcc_agg01_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_svppallsfm03,Ratio de saldo vigente de préstamo personal del sistema financiero del último mes entre últimos 3 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_svprmpprst12m,Ratio del saldo de préstamo personal del sistema financiero excluyendo Interbank del último mes mes entre últimos 12 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_tnd_sldep1tcallsf_1m,"Numerador: maxima linea de tc utilizada entre el ultimo mes y hace 6 meses atrás en el sistema financiero, denominador: maxima linea de tc en los ultimos 6 meses en ibk, Se calcula: un ratio, división entre numerador y denominador",t_cob_rcc_consulta_hist,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_var_sld_vig_ibk_sf_6m,"Numerador : variación del maximo saldo vigente en el sistema financiero ultimos 6 meses y ultimo mes, Denominador: maximo saldo en IBK en los ultimos 6 meses. Se calcula el ratio, numerador sobre el denominador.",t_cob_rcc_consulta_hist,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_varsld03m,Variacion de saldo en los últimos 3 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ratio_compara_u1m_u12m_pp,Ratio comparación del saldo SF de préstamos personales de último mes vs saldo SF en préstamos personales de hace 12 meses,t_rsk_vars_mdl_rcc_ratsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ratio_comparacion_u1m_u12m,Ratio de saldo total del último mes entre últimos 12 meses del sistema financiero,T_RSK_VARS_MDL_RCC_RATSLDO,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ratio_saldo_pp_u12m_tc,Ratio comparación de la suma de saldo de préstamos personales de últimos 12 meses vs la suma de saldos de tarjeta de crédito de últimos 12 meses,t_rsk_vars_mdl_rcc_ratsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
ratio_saldo_pp_u6m_tc,Ratio comparacion de la suma de saldo de préstamos personales de últimos 6 meses vs la suma de saldos de tarjeta de crédito de últimos 6 meses,t_rsk_vars_mdl_rcc_ratsldo,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
sld_1m_saldosaga,"Saldo total de tarjeta de crédito de Saga Falabella (Unión Falabella, Financiera CMR) último mes.",tbl_rcc_agg02_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
sld_cta_1m_sld_ep1actallsf,Saldo vigente en la entidad principal según saldo vigente total hace un mes.,tbl_rcc_agg02_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
sld_cta_slddpn_tcrsrcf,Línea disponible de tarjeta de crédito de Retail.,tbl_rcc_agg02_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
sld_dpn_tc_rsrcf,Linea de tarjeta de crédito disponible sin utilizar en el sistema financiero en los ultimos 2 meses,t_cob_rcc_consulta_hist,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
sld_tcr,Saldo total de tarjeta de crédito de Retail.,tbl_rcc_agg02_allsf_mdl,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
sldredemp24m,flag de tenencia saldo empresa en los últimos 24 meses ,"e_perm_aws.t_consolidado_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
tnd_nroentdistrdtc06m,Tendencia de número entidades distintos en rd en los últimos 6 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
tnd_sldpp06m,Tendencia de saldo PP en los últimos 6 meses,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
tnd_sldtc12m,Tendencia de saldo de tc en los u12m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
tnd_usotcssff12m,Tendencia de porcentaje de uso tc en SSFFF en el u12m,"e_perm_aws.t_fact_report_rcc_rsk, e_perm_aws.t_mst_ctarcc_rsk",ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
trm_burohipo,trama buró hipotecario ,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
uso_tcssffnoibk_06m,Uso de tarjeta de crédito en los últimos 6 meses fuera de Interbank,nan,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
var_svprmtcrst12m,Variación del saldo vigente de tarjeta de crédito en los últimos 12 meses,t_fact_report_rcc_rsk,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
rat_sldvigconvssff_01m_03m,,,,ibk-fs-group-per-rcc-mes
rat_sldvigssff_01m_03m,,,,ibk-fs-group-per-rcc-mes
rat_varsld_01m_03m,,,,ibk-fs-group-per-rcc-mes
cod_sbs,,e_perm_aws.t_fact_report_rcc_rsk,,ibk-fs-group-per-rcc-mes
max_aco_decsldpp12m,,,,ibk-fs-group-per-rcc-mes
pct_usotcotroent06m,,,,ibk-fs-group-per-rcc-mes
max_aco_decsldssff12m,,,,ibk-fs-group-per-rcc-mes
nro_aco_decsld12m,,,,ibk-fs-group-per-rcc-mes
prm_aco_decsldssff12m,,,,ibk-fs-group-per-rcc-mes
prm_aco_decsldtcssff12m,,,,ibk-fs-group-per-rcc-mes
prm_usotcrccsf3m,Promedio de uso de la tarjeta de crédito en los últimos 3m,,ibk-fs-acoe-histfin,ibk-fs-group-per-rcc-mes
